,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5
GSTM5,0.0001128766089095734,6.05336063017603e-05,0.00021727038256358355,6.743972335243598e-05,0.0009288780856877565
CSF1,2.104318809870165e-05,0.03725115582346916,0.056399039924144745,0.03139214217662811,0.00011493638885440305
RP5-1074L1.4,0.0002719367912504822,0.00034213752951473,0.003797453362494707,0.00017588621994946152,0.0021748379804193974
RP11-284N8.3,0.1273842453956604,0.07507733255624771,0.031142061576247215,0.052203353494405746,0.019997136667370796
RP11-96K19.5,0.00011648898362182081,0.0056791226379573345,0.0021032998338341713,0.0001763768814271316,0.007182607427239418
CHI3L2,0.1272110939025879,0.10587504506111145,0.0018711769953370094,2.9168672881496605e-06,0.02500399760901928
PIFO,0.005602551158517599,0.00016765402688179165,0.00011166855983901769,0.0016454954165965319,0.0002450439496897161
C1orf162,0.27613329887390137,0.22195234894752502,1.0900371074676514,0.0,0.18497544527053833
FAM212B,5.9298035921528935e-05,2.8979773560422473e-05,0.15314416587352753,0.017560899257659912,0.030522027984261513
FAM212B-AS1,8.997360419016331e-05,5.2070055971853435e-05,0.000412503577535972,0.00012334983330219984,0.0003000826109200716
RP11-88H9.2,5.561219222727232e-05,5.6544166000094265e-05,0.00016940412751864642,4.6141372877173126e-05,0.00024551976821385324
RHOC,4.1946281271521e-05,0.29063117504119873,0.34952667355537415,0.021243363618850708,0.06775540858507156
PPM1J,6.0438982472987846e-05,7.542005187133327e-05,0.019161758944392204,4.694225572166033e-05,0.04470076784491539
RP11-31F15.2,0.00018992199329659343,7.788771472405642e-05,0.0004566088900901377,7.61269693612121e-05,0.0002353330492042005
HIPK1-AS1,0.022468945011496544,0.0027640722692012787,0.0726509690284729,3.952676706830971e-05,0.0038403666112571955
OLFML3,3.933354309992865e-05,0.00010035247396444902,0.0010158729273825884,9.130581747740507e-05,0.0005322102806530893
DENND2C,0.001981775276362896,6.946631037862971e-05,0.00010733436647569761,0.02007433772087097,0.007518158759921789
ATP1A1,0.6236957311630249,0.296955406665802,0.5047385692596436,0.4997532367706299,0.23645000159740448
CD58,7.851591021790227e-08,0.36864131689071655,0.45137691497802734,0.37300658226013184,0.17267589271068573
CD2,1.0458019971847534,0.8651102185249329,8.91203796982154e-07,0.15960334241390228,1.8889472812588792e-06
PTGFRN,0.00012628664262592793,8.934630750445649e-05,0.013490673154592514,7.262268627528101e-05,0.0006026059854775667
TRIM45,5.6309723731828853e-05,6.381923594744876e-05,0.021256988868117332,0.0001331624371232465,0.00030292500741779804
FAM46C,3.1249361200025305e-05,0.45546290278434753,7.267032060553902e-07,0.5678424835205078,0.23478059470653534
ZNF697,1.7934168283773033e-07,0.0,0.16309092938899994,0.022319018840789795,7.68053450883599e-06
PHGDH,0.033110830932855606,6.175755697768182e-05,0.012982971034944057,9.513020631857216e-05,0.020246168598532677
NOTCH2,0.05949997156858444,0.09842627495527267,0.7480471134185791,0.2020159661769867,0.12431292980909348
SEC22B,0.16469362378120422,0.13072118163108826,0.41501811146736145,0.1551070213317871,0.04336370527744293
FCGR1B,7.502385983571003e-07,4.88548212160822e-05,0.32150641083717346,2.3511740891990485e-06,3.194222881575115e-05
CH17-437K3.1,0.00037019950104877353,6.734568160027266e-05,0.0007723297458142042,0.0003076325810980052,0.00026661780430004
